ID;Nom;TYPE;Description;Prix;ID_COCKTAIL;Quantite;StockTotalEntree;StockTotalSortie
387;paille bamboo;4;gabarit en fonction du verre ;0,1;0;1;1;0
389;decos cocktail;4;cocktail de coqteles d ou idealement avec plume ou tout du moins y faisant reference;0,05;0;1;1;0
390;prestation service A a Z;4;du placement au service � table;0,75;0;1;51;0
391;charge/loyer/assurance;4;loyer 2500 charges 500 assurance 500 taxes 500;0,6;0;1;1;0
823;sirop Routin lavande ;4;;11;0;100;100;0
396;marshmallow;4;170 ds 1 sac ;0,04;0;1;1;0
397;gomme parisienne;4;133 unite dans 1pack;0,01;0;1;1;0
694;shooter pinnochio (creamy popcorn);8;;2;0;2;2;0
693;shooter valentino (creamy bubble gum);8;;2;0;2;2;0
695;shooter pistachio (creamy pistache);8;;1;0;2;2;0
405;Queue de charrue fruits rouges 8.7% (33cl);2;;1,7;0;1;1;0
409;glacon;4;bloc compact idealement avec machinerie de marque hoshizaki;0,1;0;1;1;0
410;glace pilee;4;paillette de glace idealement avec machinerie de marque hoshizaki;0,1;0;1;1;0
411;diabolo grenadine 33cl et bracelet fluo;10;;0,5;0;1;1;0
412;sucre roux non raffine;4;ideal pour les cocktails hipanique en substitu de la sucre de canne;1,5;0;100;100;0
413;havana club 3ans cuba;4;;21;0;70;70;0
414;jus citron vert frais;4;idealement mexique;0,5;0;1;1;0
415;cachaca pitu;4;;31;0;70;70;0
416;rhum miel qdb;5;;15;0;100;100;0
417;vodka eristoff;4;vodka diageo;16;0;70;70;0
692;shooter margarita ;8;;2;0;4;4;0
691;long island ice tea event 25cl;4;;1,5;0;25;25;0
684;cuba libre event 25cl;4;;1,92;0;25;25;0
770;grissini ail ;1;;0,45;0;1;1;0
422;sirop popcorn Routin;4;;12;0;70;70;0
423;liqueur gaufre;4;;13,5;0;70;70;0
893;sirop poire Guiot ;4;;10;0;100;100;0
426;sirop cookie Monin;4;;11;0;70;70;0
427;fristi (lait fraise)20cl;4;;0,5;0;1;1;0
717;Desperados 0.0% S.A.(33cl);2;;1,65;0;1;1;0
432;chips chocolate(3petales);4;;0,12;0;1;1;0
438;assortiment de confiseries;4;;0,5;0;1;1;0
439;cigare gaufrette choco(2);4;;0,1;0;1;1;0
446;confiseries ;4;;0,6;0;1;1;0
654;biere pop du moment ;2;;1,2;0;25;25;0
448;gourmandises chocolatees facon freaky;4;;0,6;0;1;1;0
657;personnel cout/cocktail;5;;0,6;0;1;1;0
653;smarth drink du moment;9;;1,5;0;50;50;0
655;biere speciale du moment ;2;;2,2;0;33;33;0
652;soda du moment ;10;;0,5;0;20;20;0
662;schweppes agrumes zero 33cl;10;;1;0;1;1;0
660;cout des charges par sem/clients;5;6220/sem ca 923/sem ch expl diviser +-600cl 1.55;1,55;0;1;1;0
658;bracelet fluo;9;;0,05;0;1;1;0
458;sirop menthe glacial Guiot;4;;5;0;100;100;0
459;jus pomme trouble ;4;;1,2;0;100;100;0
460;Monster ultra Paradise 50cl et bracelet fluo;9;;1,15;0;1;1;0
461;Monster Punch mixxed 50cl et bracelet fluo;9;;1,65;0;1;1;0
462;Monster Fiesta mango 50cl et bracelet fluo;9;;1,15;0;1;1;0
468;Monster MIXXD Punch 50cl;9;;1,15;0;1;1;0
706;funny pisang sans alcool (banane verte);10;;5;0;70;70;0
470;sirop miel ;4;;13,7;0;70;70;0
663;coca cola zero 33cl;10;;0,8;0;1;1;0
714;vodka Euphoria cannabis;9;;30;0;50;50;0
474;charges/cocktail hors boissons/an;4;;1,6;0;1;1;0
475;Liqueur digestive au choix;5;;25;0;70;70;0
816;vin blanc chenin sud afrique 25cl;1;;1,7;0;1;1;0
477;f4a;4;;1,68;0;1;1;0
478;f4b;4;;2,06;0;1;1;0
479;f4M;4;;2,15;0;1;1;0
481;rondelle citron vert ;4;;0,1;0;1;1;0
482;sel pimente;4;;0,01;0;1;1;0
483;Jack Daniel's Apple(pomme);5;;29;0;70;70;0
761;sangria blanche maison et fruits (33cl);1;;3;0;1;1;0
682;4 softs ou 1L de jus au choix inclus ;4;;3;0;200;200;0
760;sirop cassis Guiot;1;;4;0;70;70;0
818;Aloe vera 50cl et bracelet fluo;9;;1;0;1;1;0
767;glace raffaello;5;;1;0;1;1;0
763;mini magnum;5;;1;0;1;1;0
896;Corona extra pils 4,6% 35.5cl;2;;1,55;0;1;1;0
506;malteser;5;;0,25;0;1;1;0
508;lacet confiserie;5;;0,1;0;1;1;0
817;petites saucisses apero ;1;;0,5;0;1;1;0
785;mix z2a;8;;40;0;200;200;0
784;mix z2;9;;45;0;100;100;0
782;saveur fromage du Jura;1;;2,5;0;1;1;0
833;original ou oignon ;1;;1;0;1;1;0
805;mix z2v;9;;35;0;100;100;0
778;chips Lays Grills 125gr;1;;1,6;0;1;1;0
727;pina colada 25cl;1;;1;0;1;1;0
776;assortiment de charcuteries espagnols 100gr;1;;3,6;0;1;1;0
772;olives vertes ;1;;1;0;1;1;0
764;liqueur saint Germain(fleur de sureau);1;;30;0;70;70;0
766;glace ferrero rocher;5;;1;0;1;1;0
543;1 alcool au choix;4;;4;0;1;1;0
544;1 liqueur fruitee au choix ;4;;2;0;1;1;0
546;Leffe blonde 6.6%(33cl);2;;1,6;0;1;1;0
547;Triple Karmeliet 8.4� (33cl);2;;2;0;1;1;0
548;Bucket de 3 bi�res pop identiques pour 10�;2;;2,5;0;1;1;0
549;Bucket de 3 bi�res sp�ciales identiques pour 15�;2;;6;0;1;1;0
550;verre de vin ;1;;1,5;0;1;1;0
551;bouteille de vin ;1;;5;0;1;1;0
553;champagne brut Piper Heidsieck;1;;35;0;1;1;0
554;vin ros� cimarose USA 25cl;1;;2,5;0;1;1;0
555;vin rouge LYV pays d oc 70cl;1;;9;0;1;1;0
556;champagne brut Drappier carte d or ;1;;30;0;1;1;0
716;Flugel;5;;1,35;0;1;1;0
715;shooter champagne;8;;1,5;0;1;1;0
804;mix z2u;9;;35;0;100;100;0
803;mix z2t;9;;35;0;100;100;0
802;mix Z2s;9;;30;0;100;100;0
801;mix z2R;9;;35;0;100;100;0
800;mix z2Q;9;;35;0;100;100;0
799;mix z2p;9;;35;0;100;100;0
798;mix z2o;9;;25;0;100;100;0
797;mix z2N;9;;35;0;100;100;0
796;mix z2M;9;;35;0;100;100;0
795;mix z2L;9;;35;0;100;100;0
571;liqueur bubble gum pink qdb ;4;;15;0;70;70;0
681;coupette de bulle (25cl);9;;1;0;1;1;0
574;cubes fromages;5;;2;0;1;1;0
680;gin Birdie kaldi (cafe meo);4;;50;0;70;70;0
794;mix z2k;9;;35;0;100;100;0
745;arachides grillees;1;;0,5;0;1;1;0
793;mix z2j;9;;45;0;100;100;0
830;cigarettes Russes;5;;0,1;0;1;1;0
829;Sirop Madeleine Routin;4;;10;0;100;100;0
828;shooter diabolito qdb;8;;0,5;0;1;1;0
827;shooter 4cl;8;;0,2;0;1;1;0
826;verre old fashioned;8;;0,2;0;1;1;0
683;mojito event 25cl nature ou fruite;4;;1,8;0;25;25;0
895;nuage de coco;9;;0,6;0;1;1;0
711;fromage mediterraneen;1;;3;0;1;1;0
589;appeler secour pour cette table;12;;0,01;0;1;1;0
710;shooter jagermeister;8;;1;0;3;3;0
775;assortiment de charcuteries italiennes 200gr;1;;3,9;0;1;1;0
592;Monster ultra Peachy KEEN(peche blanche) 50cl;9;;1,15;0;1;1;0
593;Don papa masskara rum;5;;43;0;70;70;0
886;vodka coca�ne euphoria ;9;;25,5;0;50;50;0
595;Don papa baroko rum;5;;40;0;70;70;0
601;goatcheese bacon ou;9;;0,1;0;1;1;0
602;cannibale ou;10;;0,1;0;1;1;0
739;Monster Aussie(citron fresh)-50cl-et bracelet fluo;9;;1,15;0;1;1;0
604;savoyarde ou;10;;0,1;0;1;1;0
605;extravaganzza ou;10;;0,1;0;1;1;0
606;the champ ou;10;;0,1;0;1;1;0
607;four cheese ou;10;;0,1;0;1;1;0
608;four stagioni ou;10;;0,1;0;1;1;0
609;diabolika ou;10;;0,1;0;1;1;0
610;bbq grill ou;10;;0,1;0;1;1;0
611;tonno ou;10;;0,1;0;1;1;0
612;veggi ou;10;;0,1;0;1;1;0
613;americaine(possible sans gluten) ou;10;;0,1;0;1;1;0
614;marguerite(possible sans gluten) ou;10;;0,1;0;1;1;0
615;hawaiian ou;10;;0,1;0;1;1;0
616;forestiere ou;10;;0,1;0;1;1;0
617;pizza du mois a verifier sur le site dominos.be;10;;0,1;0;1;1;0
762;frisko manon(chocolat blanc, cafe,amande);5;;1;0;1;1;0
619;jus de tomate epice Big tom;12;;1,6;0;25;25;0
882;Liefmans peach;2;;1,5;0;1;1;0
792;mix z2i;9;;45;0;100;100;0
808;mix z2y;9;;50;0;440;440;0
815;jus betterave rouge 33cl;12;;1;0;1;1;0
807;mix z2x;9;;50;0;440;440;0
628;liqueur violette qdb;8;;14;0;70;70;0
731;gin Bombay Bramble(fruits rouges);1;;30;0;70;70;0
630;liqueur pistache qdb;8;;15;0;70;70;0
812;Rhum Havana club 3ans ;7;;21;0;70;70;0
633;liqueur pinacolada qdb;8;;10;0;70;70;0
634;liqueur cookie qdb;8;;15;0;70;70;0
707;mini brochettes de poulet ;1;;3,5;0;1;1;0
636;Monster ultra Rosa (50cl) et fluo;9;;1,15;0;1;1;0
637;liqueur noisette ;8;;16;0;70;70;0
638;bonbon sexuel;4;;0,1;0;1;1;0
791;mix z2h;9;;35;0;100;100;0
790;mix z2g;9;;35;0;100;100;0
789;mix z2f;9;;20;0;50;50;0
788;mix z2e;9;;35;0;100;100;0
787;mix z2d;9;;35;0;100;100;0
786;mix z2b;8;;10;0;100;100;0
704;liqueur tutti frutti;4;;7,5;0;70;70;0
646;liqueur cuberdon;8;;14;0;70;70;0
759;sangria mix blanche 1.5L;1;;3,3;0;1;1;0
702;snack equilibre pour Laya ;9;;0,5;0;1;1;0
