ID_INGREDIENT;ID_COCKTAIL;Quantite;Ordre
62;906;2;3
16;132;1;7
140;132;1;6
83;132;2;5
102;132;2;4
13;132;2;3
271;132;3;2
108;133;2;6
17;133;1;5
130;133;3;4
132;133;3;3
39;133;2;2
136;133;2;1
175;134;20;5
76;134;5;4
101;134;2;3
1;134;3;2
35;134;2;1
438;1063;1;10
159;135;1;5
2;135;2;4
132;135;3;3
133;135;3;2
218;135;2;1
158;136;1;3
122;136;5;2
130;136;5;1
167;137;15;6
181;137;15;5
1;137;2;4
109;137;2;3
133;137;2;2
27;137;6;1
133;1300;2;2
130;138;2;4
177;138;33;3
1;1408;10;3
33;1408;2;2
109;138;2;2
277;138;10;1
30;139;2;7
158;139;1;6
123;139;2;5
139;139;2;4
84;139;3;3
76;139;3;2
136;139;2;1
30;140;2;7
175;140;15;6
181;140;15;5
133;140;3;4
76;140;3;3
27;140;2;2
132;140;2;1
98;141;4;5
84;141;10;4
18;141;10;3
133;141;10;2
130;623;2;6
67;1504;2;1
68;141;3;1
171;142;10;7
43;171;2;1
27;142;5;6
84;142;5;5
76;142;10;4
132;142;3;3
82;142;3;2
109;1303;2;2
446;919;1;8
67;875;2;1
308;143;10;4
109;143;3;3
1;143;5;2
27;143;5;1
21;373;1;1
134;144;3;7
132;144;5;6
84;144;10;5
76;144;10;4
82;144;4;3
130;144;4;2
35;144;3;1
23;145;15;9
17;145;1;8
132;145;2;7
76;145;2;6
27;145;2;5
110;145;2;4
139;145;2;3
275;145;4;2
44;145;2;1
98;146;2;7
175;146;14;6
23;146;15;5
17;146;1;4
103;862;8;3
1;862;14;2
277;146;5;3
133;146;2;2
46;146;2;1
159;632;2;7
158;147;1;5
76;147;8;4
133;147;3;3
130;147;2;2
137;147;2;1
132;148;2;6
76;148;5;5
133;148;5;4
269;148;2;3
571;148;2;2
62;148;2;1
21;468;1;1
39;149;2;4
97;149;3;3
136;153;2;1
76;149;7;2
21;149;1;1
134;150;1;7
17;150;1;6
137;150;2;5
132;150;3;4
15;150;3;3
46;150;2;2
136;150;2;1
84;151;3;2
136;151;2;1
134;151;2;6
17;151;1;5
139;151;2;4
133;151;3;3
167;152;20;5
76;152;6;4
97;152;2;3
91;907;6;4
108;152;2;2
38;152;1;1
154;153;1;6
132;153;3;5
133;153;3;4
130;153;3;3
275;153;4;2
177;154;5;7
23;154;15;6
17;154;1;5
103;154;3;4
133;154;2;3
233;906;1;8
154;155;1;7
416;161;2;8
234;155;2;6
64;155;2;5
39;155;4;4
133;155;2;3
271;155;4;2
134;156;2;6
150;156;1;5
76;753;40;3
76;156;2;4
18;156;2;3
132;156;2;2
136;156;2;1
110;157;2;5
154;157;1;4
175;157;5;3
84;157;7;2
68;157;2;1
651;158;1;6
177;158;25;5
131;158;2;4
27;158;7;3
122;158;3;2
868;159;1;6
36;159;2;5
132;159;2;4
102;159;2;3
133;159;3;2
91;159;3;1
17;160;1;5
76;160;4;4
122;160;3;3
100;160;2;2
44;160;2;1
167;161;20;7
76;161;5;6
102;161;2;5
413;875;6;3
27;161;10;4
97;161;3;3
133;161;3;2
55;161;3;1
176;162;15;6
180;162;15;5
76;162;5;4
130;162;3;3
96;162;2;2
32;162;2;1
878;163;1;4
134;163;3;3
137;163;3;2
76;163;6;1
166;164;15;5
177;164;15;4
27;164;8;3
97;164;2;2
108;1300;2;5
43;164;3;1
134;165;2;5
237;165;1;4
275;853;4;4
27;165;3;3
86;165;2;2
68;165;2;1
378;166;1;5
20;166;1;4
133;166;3;3
17;167;1;7
39;746;50;2
132;167;2;6
133;167;2;5
76;167;4;4
136;167;2;3
96;167;1;2
108;167;2;1
154;168;1;5
76;168;4;4
82;168;4;3
122;168;2;2
100;168;2;1
154;169;1;5
76;169;4;4
122;169;4;3
130;169;4;2
44;169;2;1
167;170;20;8
178;170;10;7
134;916;2;6
96;170;2;6
113;170;2;5
27;170;2;4
130;170;2;3
131;170;2;2
40;170;2;1
891;171;1;4
17;171;1;3
76;171;10;2
98;172;2;6
181;172;15;5
116;172;2;4
76;172;5;3
133;172;3;2
874;172;2;1
134;173;2;8
23;173;15;7
159;173;1;6
2;173;2;5
96;173;2;4
132;173;2;3
133;173;2;2
68;173;2;1
177;174;60;11
115;174;2;10
15;174;2;9
101;174;2;8
109;174;2;7
133;174;2;6
13;174;2;5
27;174;2;4
76;174;2;3
18;174;2;2
132;174;2;1
861;175;1;5
18;175;5;4
275;1506;3;3
102;1408;8;4
118;175;2;3
133;175;2;2
38;175;2;1
177;176;33;7
109;176;2;6
102;176;2;5
130;176;2;4
133;176;2;3
32;1514;4;4
177;1514;30;3
277;176;8;2
111;176;2;1
166;177;33;6
82;177;4;5
76;177;4;4
113;177;2;3
96;177;2;2
43;177;2;1
172;178;25;6
133;178;2;5
76;178;4;4
2;178;3;3
39;178;4;2
44;178;2;1
159;179;1;5
27;179;4;4
84;179;2;3
133;179;4;2
68;179;2;1
23;180;15;8
17;180;1;7
129;180;2;6
28;180;2;5
102;180;2;4
275;180;4;3
133;180;2;2
119;180;2;1
171;181;15;6
181;181;15;5
132;181;2;4
27;181;4;3
67;37;4;3
133;181;4;2
50;181;2;1
166;182;15;9
181;182;15;8
84;182;2;7
15;182;2;6
76;182;2;5
18;182;2;4
109;182;2;3
82;182;2;2
67;182;2;1
181;183;25;6
131;183;2;5
133;183;3;4
84;183;3;3
113;183;2;2
43;183;2;1
166;184;33;5
275;184;4;4
76;184;4;3
1;184;3;2
102;184;3;1
154;185;1;6
130;185;4;5
136;185;2;4
122;185;2;3
76;185;4;2
35;185;2;1
459;186;33;8
166;186;33;7
109;186;5;6
27;186;5;5
96;186;2;4
76;186;10;3
103;186;3;2
60;186;2;1
23;187;15;4
17;187;1;3
101;187;2;2
161;187;15;1
177;188;5;6
17;188;1;5
55;1213;2;1
39;188;2;4
84;188;3;3
82;188;2;2
76;188;5;1
154;189;1;4
84;189;4;3
82;189;4;2
2;189;2;1
98;190;2;5
166;190;33;4
76;190;5;3
109;190;3;2
1;190;3;1
166;191;33;8
130;191;2;7
96;191;1;6
76;191;3;5
27;191;3;4
109;191;2;3
82;191;2;2
49;191;2;1
2;192;3;2
68;192;2;1
172;192;25;6
109;192;2;5
130;192;3;4
133;192;2;3
878;193;1;6
15;193;3;5
27;193;3;4
132;193;2;3
39;193;2;2
122;221;2;10
35;193;2;1
172;194;10;9
111;732;2;6
159;732;1;5
23;194;150;8
154;194;10;7
82;194;12;6
132;194;6;5
102;194;4;4
84;194;8;3
175;731;5;8
136;195;2;8
23;195;15;7
860;195;1;6
27;195;2;5
76;195;2;4
137;195;2;3
133;195;2;2
53;195;2;1
859;196;1;6
15;196;3;5
82;196;3;4
96;196;2;3
130;196;2;2
67;196;2;1
171;197;20;6
119;197;2;5
438;706;1;7
27;197;6;4
123;197;2;3
275;197;4;2
49;197;2;1
171;198;2;8
136;198;2;7
23;198;25;6
130;198;2;5
76;198;4;4
102;198;2;3
35;198;2;2
17;199;1;4
13;199;4;3
109;199;4;2
103;199;4;1
177;200;5;4
17;200;1;3
76;200;10;2
43;200;2;1
23;201;15;4
17;201;1;3
76;201;8;2
35;201;2;1
159;202;1;5
76;202;6;4
96;202;2;3
122;202;2;2
55;202;2;1
171;209;5;6
134;203;3;6
23;203;25;5
17;203;1;4
133;203;3;3
97;203;3;2
68;203;2;1
172;204;25;5
97;204;2;4
96;204;2;3
132;204;4;2
121;204;4;1
181;205;15;6
177;205;15;5
27;205;5;4
86;205;2;3
115;205;2;2
109;205;3;1
176;206;33;4
133;206;7;3
113;206;3;2
67;206;2;1
166;207;33;6
15;207;2;5
18;207;2;4
133;207;3;3
109;207;3;2
68;207;2;1
181;208;33;5
109;208;2;4
132;208;4;3
130;208;4;2
43;208;2;1
132;209;2;4
122;209;3;3
130;209;2;2
43;209;2;1
438;210;1;8
651;210;1;7
134;210;2;6
154;210;1;5
132;210;4;4
130;210;4;3
134;211;2;7
17;211;1;6
76;211;4;5
15;211;2;4
133;211;4;3
68;211;1;2
30;211;1;1
17;212;1;7
84;212;4;6
133;212;4;5
109;212;1;4
2;212;2;3
46;212;1;2
35;212;2;1
23;213;15;7
17;213;1;6
76;213;2;5
130;213;2;4
133;213;2;3
111;213;2;2
35;213;2;1
181;214;15;8
166;214;15;7
275;214;4;6
96;214;1;5
76;214;5;4
97;214;2;3
133;214;2;2
35;214;2;1
166;215;33;5
76;215;5;4
86;215;3;3
111;215;3;2
47;215;2;1
119;216;2;7
180;216;20;6
15;216;2;5
129;216;2;4
2;216;2;3
275;216;4;2
46;216;2;1
171;217;25;5
76;217;5;4
133;217;3;3
2;217;3;2
46;217;2;1
134;218;2;7
859;218;1;6
27;218;4;5
118;218;2;4
13;166;3;2
109;218;2;3
113;218;2;2
68;218;2;1
108;219;1;7
136;219;1;6
167;219;15;5
175;219;15;4
76;219;4;3
1;219;2;2
102;219;2;1
119;220;2;6
154;220;1;5
84;220;3;4
132;220;2;3
39;220;2;2
2;220;2;1
132;221;2;5
133;221;2;4
2;221;2;3
46;221;2;2
150;1213;1;5
275;1213;3;4
108;1213;2;3
134;222;2;9
181;222;10;8
166;222;15;7
130;222;2;6
132;222;2;5
139;222;2;4
133;222;2;3
55;222;1;2
62;222;1;1
150;223;1;5
271;223;4;4
109;223;2;3
97;223;2;2
48;223;2;1
27;1213;8;2
158;224;1;5
133;224;4;4
2;224;4;3
118;224;3;2
46;224;2;1
17;225;1;8
108;225;1;7
76;225;3;6
132;225;2;5
133;225;2;4
101;225;2;3
123;225;2;2
55;225;1;1
12;226;2;4
133;226;8;3
21;908;1;1
237;226;1;2
38;226;2;1
171;227;20;5
480;227;1;4
96;227;2;3
131;719;2;5
27;227;8;2
62;227;2;1
143;228;1;5
133;228;2;4
13;228;2;3
76;228;4;2
216;228;2;1
275;906;3;2
16;229;1;6
143;229;1;5
101;229;2;4
105;229;2;3
84;229;2;2
83;229;3;1
103;230;2;6
158;230;1;5
76;230;5;4
109;230;2;3
102;230;2;2
47;230;2;1
891;231;1;6
98;231;2;5
17;231;1;4
76;231;5;3
101;231;3;2
130;231;2;1
23;232;25;5
275;232;4;4
133;232;4;3
136;1137;2;1
132;232;4;2
110;232;2;1
129;233;3;4
132;233;3;3
27;233;3;2
43;233;2;1
181;233;20;6
171;233;10;5
154;234;1;5
53;234;2;4
137;234;2;3
139;234;3;2
76;234;5;1
171;235;20;7
102;235;2;6
101;235;2;5
136;235;2;4
130;235;2;3
76;235;2;2
35;235;2;1
175;236;5;7
146;236;1;6
18;236;5;5
82;236;2;4
113;236;2;3
275;236;4;2
68;236;2;1
860;237;1;5
133;237;4;4
438;1081;1;8
39;237;2;3
76;237;4;2
2;237;2;1
438;238;1;8
651;238;1;7
172;238;5;6
154;238;1;5
132;238;3;4
139;238;2;3
438;239;1;8
651;239;1;7
448;265;1;7
651;1081;1;7
23;239;25;6
39;239;2;5
28;239;4;4
27;239;4;3
98;240;2;7
154;240;1;6
133;240;2;5
109;240;2;4
139;240;3;3
132;240;4;2
55;240;2;1
438;241;1;8
651;241;1;7
158;241;1;6
102;241;2;5
109;241;2;4
110;241;2;3
98;242;1;8
23;242;15;7
158;242;1;6
76;242;3;5
448;245;1;10
139;242;3;4
47;242;1;3
275;242;4;2
55;242;1;1
158;243;1;5
275;243;4;4
64;243;2;3
110;1083;2;5
76;243;4;2
27;243;4;1
168;244;20;5
275;244;4;4
64;244;2;3
416;244;4;2
27;244;4;1
438;918;1;10
651;918;1;9
16;245;1;9
140;245;1;8
76;245;5;7
83;245;4;6
132;245;4;5
13;245;4;4
102;245;4;3
271;245;4;2
36;245;2;1
438;246;1;9
651;246;1;8
181;246;33;7
27;246;4;6
109;246;1;5
171;1252;10;3
130;246;2;4
131;246;2;3
171;247;20;6
167;247;10;5
96;247;2;4
132;247;2;3
139;247;3;2
68;247;2;1
150;248;1;5
275;248;3;4
113;248;4;3
133;248;4;2
878;249;1;5
134;249;2;4
132;1274;3;3
82;249;3;3
27;249;3;2
2;249;2;1
134;250;2;5
159;250;1;4
132;250;5;3
97;250;3;2
35;250;2;1
438;251;1;8
651;251;1;7
172;251;15;6
176;251;15;5
133;251;3;4
15;251;4;3
438;252;1;7
651;252;1;6
134;252;2;5
878;252;1;4
27;252;3;3
158;253;1;8
122;253;2;7
132;253;2;6
130;253;2;5
115;253;2;4
96;253;1;3
133;253;2;2
49;253;2;1
651;254;1;7
23;254;25;6
154;351;2;5
39;254;2;5
28;254;2;4
27;254;2;3
139;254;2;2
235;254;2;1
154;255;1;7
97;255;2;6
76;255;3;5
133;255;3;4
132;255;2;3
646;255;1;2
44;255;2;1
171;256;10;8
162;256;20;7
139;256;2;6
130;256;2;5
82;256;2;4
27;256;2;3
68;256;1;2
235;256;1;1
136;257;2;7
43;194;10;1
23;257;15;6
154;257;1;5
76;257;2;4
115;257;2;3
139;257;2;2
218;257;2;1
177;258;15;5
167;258;15;4
27;258;5;3
102;258;5;2
43;258;2;1
154;259;1;5
76;259;4;4
96;259;2;3
130;259;4;2
60;259;2;1
134;868;3;5
17;868;3;4
16;260;1;6
140;260;1;5
97;260;2;4
651;959;1;6
102;260;2;3
83;260;2;2
172;261;20;6
180;261;10;5
96;261;2;4
133;261;3;3
18;261;3;2
218;261;2;1
30;262;2;6
154;262;1;5
132;262;4;4
131;262;3;3
130;1274;3;2
96;262;2;2
133;262;2;1
44;910;2;1
140;263;1;5
83;263;4;4
106;263;3;3
105;263;2;2
67;263;2;1
167;264;10;6
180;264;20;5
132;264;4;4
121;264;2;3
97;264;2;2
67;264;2;1
140;265;1;5
83;265;3;4
271;265;3;3
102;265;3;2
132;265;3;1
76;266;6;5
136;266;2;4
21;1081;1;1
110;266;2;3
39;266;4;2
50;266;2;1
17;267;1;4
76;267;5;3
82;267;3;2
110;267;2;1
23;268;25;5
139;268;3;4
175;268;3;3
100;268;3;2
48;268;2;1
40;706;2;1
175;269;25;7
1;269;3;6
139;269;2;5
102;269;2;4
133;269;2;3
53;269;1;2
48;269;1;1
119;270;2;6
176;270;10;5
181;270;20;4
18;270;6;3
97;270;2;2
43;270;2;1
171;271;10;5
23;271;25;4
39;271;2;3
113;271;2;2
110;271;2;1
181;272;33;5
129;272;2;4
133;272;4;3
27;272;4;2
106;272;2;1
27;273;3;5
18;273;3;4
109;273;2;3
113;273;2;2
44;273;2;1
171;273;10;7
181;273;20;6
171;274;5;9
23;274;15;8
17;274;1;7
27;274;2;6
76;274;2;5
132;274;2;4
109;274;2;3
123;274;2;2
177;275;33;6
154;350;2;4
275;350;4;4
2;275;2;5
76;275;4;4
132;275;2;3
133;275;2;2
40;275;2;1
166;276;33;5
133;276;5;4
18;276;4;3
100;276;2;2
46;276;2;1
23;742;25;7
23;277;10;8
17;277;1;7
76;277;2;6
132;277;2;5
109;277;2;4
2;277;2;3
133;277;2;2
46;277;1;1
64;1406;2;2
57;278;2;5
167;278;33;4
97;278;2;3
28;278;3;2
27;278;3;1
17;279;1;5
76;279;4;4
133;279;3;3
2;279;2;2
44;279;2;1
181;280;20;6
101;280;2;5
76;280;4;4
133;280;2;3
137;280;2;2
46;280;2;1
574;1028;1;2
172;281;2;8
23;281;15;7
17;281;1;6
110;281;3;5
15;281;3;4
108;281;2;3
133;281;2;2
154;282;1;7
137;282;2;6
76;282;5;5
133;282;2;4
136;282;2;3
35;282;1;2
53;282;2;1
134;283;2;6
154;283;1;5
100;283;2;4
166;873;11;5
136;283;2;3
82;283;6;2
55;283;2;1
30;284;2;6
181;284;33;5
27;284;6;4
109;284;3;3
130;284;3;2
47;284;2;1
181;285;20;7
167;285;10;6
1;285;2;5
166;1235;10;3
130;285;2;4
133;285;3;3
15;285;3;2
62;285;2;1
438;286;1;7
651;286;1;6
172;286;20;5
27;286;3;4
100;286;2;3
172;1253;10;3
177;287;33;5
76;287;5;4
103;296;2;5
133;287;5;3
275;287;4;2
47;287;2;1
98;288;2;7
154;288;1;6
123;288;2;5
76;288;5;4
133;288;3;3
275;288;1;2
154;289;1;4
131;289;3;3
116;289;2;2
76;289;7;1
154;290;1;5
82;290;3;4
76;290;5;3
131;290;3;2
38;290;2;1
119;291;2;5
177;291;33;4
129;291;2;3
27;291;6;2
46;291;2;1
30;292;2;8
171;292;15;7
181;292;15;6
76;292;2;5
18;292;2;4
132;292;2;3
171;532;5;9
113;292;2;2
46;292;2;1
181;293;30;5
275;293;4;4
43;933;5;1
130;293;4;3
76;293;6;2
43;293;3;1
98;294;2;5
166;294;33;4
76;294;7;3
109;294;3;2
55;294;2;1
30;295;2;7
167;295;10;6
166;295;20;5
109;295;2;4
102;295;2;3
27;295;3;2
132;295;3;1
98;296;2;4
181;296;33;3
130;296;3;2
277;296;10;1
868;1343;1;2
76;747;40;1
130;749;30;2
167;297;15;7
166;297;15;6
15;297;3;5
28;297;3;4
133;297;3;3
275;297;4;2
44;297;3;1
878;298;1;5
39;298;4;4
133;1081;2;4
133;298;2;3
27;298;3;2
277;298;5;1
133;1523;2;4
27;1523;3;3
76;947;2;5
98;299;2;4
308;299;20;3
76;873;7;3
109;299;5;2
27;299;8;1
619;300;25;3
651;1077;1;6
172;1077;5;5
76;300;8;2
39;300;4;1
64;301;3;3
460;1078;1;4
275;301;4;2
13;301;10;1
39;302;4;3
67;67;2;1
27;1081;9;3
82;302;2;2
76;302;10;1
23;314;25;5
39;303;4;3
23;741;5;6
461;741;1;5
82;303;3;2
132;303;5;1
275;304;4;4
177;304;30;3
132;818;5;2
